Species,Treatment,Energy,Energy (400-500),Energy (500-600),Energy (600-700),Energy (700-800),PFD,PFD (400-500),PFD (500-600),PFD (600-700),PFD (700-800),CO2 ave,CO2 std,T ave,T std,RH ave,RH std,Photoperiod (h),Day,Fresh Mass (g),Dry Mass (g)
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,1.045,0.07505
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,1.105,0.082422131
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,1.1725,0.099211538
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,420,37,23.1,0.8,43,9,15,9,2.167,0.146418919
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.4835,0.034247917
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.905,0.071840206
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,1.141,0.093464894
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.4255,0.026127193
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.4735,0.035950926
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.5195,0.038133511
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.391,0.028759504
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.899,0.065780488
Cherokee,Greenhouse,44.71810811,0.27479904,0.178381188,0.440151168,0.106668603,262,0.20815349,0.132391126,0.565628858,0.093826526,420,37,23.1,0.8,43,9,18,9,0.5295,0.035130288
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,0.416,0.029952
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,0.887,0.060161739
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,0.617,0.044273282
